date,trial_#,day_or_night,hatch_group,trial_options,x_axis,y_axis,include,total_distance_recorded,notes2
3/5/2018,188,D,2,dvb,d,b,1,,
3/5/2018,189,D,2,dvb,d,b,1,,
3/5/2018,190,D,2,dvb,d,b,0,too short 2.6,too short 2.6
3/5/2018,191,D,2,dvb,d,b,1,,
3/5/2018,192,D,2,dvg,d,g,1,,
3/5/2018,193,D,2,dvg,d,g,1,,
3/5/2018,194,D,2,dvg,d,g,1,,
3/5/2018,195,D,2,dvg,d,g,1,,
3/5/2018,196,D,2,dvg,d,g,1,,
3/5/2018,197,D,2,dvg,g,d,1,,
3/5/2018,198,D,2,dvg,g,d,0,too short 3.6,too short 3.6
3/5/2018,199,D,2,dvg,g,d,1,,
3/5/2018,200,D,2,dvg,g,d,1,,
3/5/2018,201,D,2,dvg,g,d,1,,
3/5/2018,202,N,2,dvg,g,d,0,too short 2.5,too short 2.5
3/5/2018,203,N,2,dvg,g,d,1,,
3/5/2018,204,N,2,dvg,g,d,1,,
3/5/2018,205,N,2,dvg,g,d,1,,
3/5/2018,206,N,2,dvg,g,d,1,,
3/5/2018,207,N,2,dvg,g,d,1,,
3/5/2018,208,N,2,dvg,d,g,1,,
3/5/2018,209,N,2,dvg,d,g,1,,
3/5/2018,210,N,2,light,.,.,1,,
3/5/2018,211,N,2,light,.,.,1,,
3/5/2018,212,N,2,light,.,.,1,,
3/5/2018,213,N,2,light,.,.,1,,
3/5/2018,214,N,2,light,.,.,1,,
3/5/2018,215,N,2,light,.,.,1,,
3/5/2018,216,N,2,light,.,.,1,,
3/5/2018,217,N,2,light,.,.,1,,
3/5/2018,218,N,2,light,.,.,1,,
3/5/2018,219,N,2,light,.,.,1,,
3/5/2018,220,N,2,light,.,.,1,,
3/5/2018,221,N,2,light,.,.,1,,
3/5/2018,222,N,2,light,.,.,0,too short 7.9,too short 7.9
3/5/2018,223,N,2,light,.,.,1,,
3/5/2018,224,N,2,light,.,.,1,,
3/5/2018,225,N,2,light,.,.,1,,
3/5/2018,226,N,2,light,.,.,1,,
3/5/2018,227,D,2,light,.,.,1,,
3/5/2018,228,D,2,light,.,.,1,,
3/5/2018,229,D,2,light,.,.,1,,
3/5/2018,230,D,2,light,.,.,1,,
3/5/2018,231,D,2,light,.,.,1,,
3/5/2018,232,D,2,light,.,.,1,,
3/5/2018,233,D,2,light,.,.,1,,
3/5/2018,234,D,2,light,.,.,1,,
3/5/2018,235,D,2,light,.,.,1,,
3/5/2018,236,D,2,light,.,.,1,,
3/5/2018,237,D,2,light,.,.,1,,
3/5/2018,238,D,2,light,.,.,1,,
3/5/2018,239,D,2,light,.,.,1,,
